Target Function,Software,Config,Tag,Source File,Proof Relpath,Proof Found,Compile Succeeded,Links Target,Semantic Valid,Development Succeeds,Verification Completes,Verification Time,Verification Succeeds,Target Function Reachable Line Count,Target Function Covered Line Count,Target Function Line Coverage %,Program Reachable Line Count,Program Covered Line Count,Program Line Coverage %,Overall Reachable Line Count,Overall Covered Line Count,Overall Line Coverage %,Total Memory-Safety Properties,Total Memory-Safety Properties By Class,Verified Memory-Safety Properties,Verified Memory-Safety Properties By Class,Verified Memory-Safety Properties %,Total Memory-Safety Property Lines,Verified Memory-Safety Property Lines,Vulnerability Report Count,Violated Memory-Safety Property Lines,Reported Vulnerabilities,Property Violations,Precondition Violations,Generation Time,API Cost,Proof Size LOC,Proof File Size,Harness Size LOC,Source Files In Scope,Functions In Scope,Loop Unwindset Count,Loop Unwind Min,Loop Unwind Max,Model Used Variable Count,Assumption Variable Count,Harness Symbol Variable Count,Proof-Side Symbol Variable Count,Function Model Count,Function Model Avg LOC
dio_input,contiki-ng,autoup-s1,exp-0804,os/net/routing/rpl-lite/rpl-icmp6.c,rpl-icmp6/dio_input,True,True,True,True,True,True,92.814702,True,107,107,100.000000,112,112,100.000000,128,124,96.875000,319,"{""overflow"": 63, ""pointer"": 6, ""pointer arithmetic"": 49, ""pointer dereference"": 171, ""pointer primitives"": 18, ""precondition_instance"": 10, ""undefined-shift"": 2}",319,"{""overflow"": 63, ""pointer"": 6, ""pointer arithmetic"": 49, ""pointer dereference"": 171, ""pointer primitives"": 18, ""precondition_instance"": 10, ""undefined-shift"": 2}",100.000000,50,50,2,0,2,0,2,1811.885866,1.6034,5,7,5,1,3,0,2,2,0,0,0,0,0,
rpl_process_dio,contiki-ng,autoup-s1,exp-0804,os/net/routing/rpl-lite/rpl-dag.c,rpl-dag/rpl_process_dio,True,True,True,True,False,True,1.041147,True,12,12,100.000000,300,296,98.666667,300,296,98.666667,374,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 9, ""pointer"": 4, ""pointer arithmetic"": 34, ""pointer dereference"": 303, ""pointer primitives"": 12, ""precondition"": 2, ""precondition_instance"": 7}",374,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 9, ""pointer"": 4, ""pointer arithmetic"": 34, ""pointer dereference"": 303, ""pointer primitives"": 12, ""precondition"": 2, ""precondition_instance"": 7}",100.000000,55,55,0,0,0,0,0,,,0,86,0,3,27,1,2,17,8,2,0,0,0,
read_frame,contiki-ng,autoup-s1,exp-0804,arch/cpu/nrf/net/nrf-ieee-driver-arch.c,nrf-ieee-driver-arch/read_frame,True,False,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
check_for_tcp_syn,contiki-ng,autoup-s1,exp-0804,os/net/ipv6/tcpip.c,tcpip/check_for_tcp_syn,True,True,True,True,True,True,0.000207,True,1,1,100.000000,1,1,100.000000,3,3,100.000000,,,,,,,,0,,0,0,0,106.587213,0.1758,2,4,2,1,1,0,2,2,0,0,0,0,0,
uncompress_addr,contiki-ng,autoup-s1,exp-0804,os/net/ipv6/sicslowpan.c,sicslowpan/uncompress_addr,True,True,True,True,True,True,0.044040,True,21,21,100.000000,21,21,100.000000,51,47,92.156863,96,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 8, ""pointer"": 4, ""pointer arithmetic"": 46, ""pointer dereference"": 12, ""pointer primitives"": 15, ""precondition_instance"": 7}",96,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 8, ""pointer"": 4, ""pointer arithmetic"": 46, ""pointer dereference"": 12, ""pointer primitives"": 15, ""precondition_instance"": 7}",100.000000,11,11,0,0,0,0,0,579.780590,0.8972,19,22,19,1,1,0,2,2,3,3,9,9,0,
dao_input_storing,contiki-ng,autoup-s1,exp-0804,os/net/routing/rpl-classic/rpl-icmp6.c,rpl-icmp6/dao_input_storing,True,True,True,True,True,True,37.943415,False,172,172,100.000000,203,203,100.000000,276,271,98.188406,425,"{""assertion"": 2, ""division-by-zero"": 4, ""overflow"": 36, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 354, ""pointer primitives"": 5, ""precondition"": 2, ""precondition_instance"": 5}",424,"{""assertion"": 2, ""division-by-zero"": 4, ""overflow"": 36, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 354, ""pointer primitives"": 5, ""precondition"": 2, ""precondition_instance"": 4}",99.764706,70,69,5,1,6,1,5,8424.840019,4.5819,62,75,6,1,4,1,2,17,0,0,38,38,9,6.222222
rs_input,contiki-ng,autoup-s1,exp-0804,os/net/ipv6/uip-nd6.c,uip-nd6/rs_input,True,True,True,True,True,True,4.929926,True,54,53,98.148148,59,57,96.610169,90,84,93.333333,143,"{""assertion"": 2, ""overflow"": 13, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 88, ""pointer primitives"": 8, ""precondition"": 2, ""precondition_instance"": 3, ""undefined-shift"": 1}",143,"{""assertion"": 2, ""overflow"": 13, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 88, ""pointer primitives"": 8, ""precondition"": 2, ""precondition_instance"": 3, ""undefined-shift"": 1}",100.000000,22,22,1,0,1,0,1,666.825680,1.0256,20,31,4,1,2,0,2,2,0,0,14,14,3,5.333333
storage_get_index,contiki-ng,autoup-s1,exp-0804,os/storage/antelope/storage-cfs.c,storage-cfs/storage_get_index,True,True,True,True,True,True,0.109138,True,22,22,100.000000,31,31,100.000000,56,52,92.857143,129,"{""assertion"": 2, ""pointer"": 6, ""pointer arithmetic"": 61, ""pointer dereference"": 30, ""pointer primitives"": 21, ""precondition_instance"": 9}",129,"{""assertion"": 2, ""pointer"": 6, ""pointer arithmetic"": 61, ""pointer dereference"": 30, ""pointer primitives"": 21, ""precondition_instance"": 9}",100.000000,13,13,0,0,0,0,0,533.799109,0.8179,14,17,14,1,2,2,2,13,3,3,6,6,0,
PROCESS_THREAD,contiki-ng,autoup-s1,exp-0804,os/net/mac/ble/ble-l2cap.c,ble-l2cap/PROCESS_THREAD,True,False,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,352.554710,0.5325,,11,,,,0,2,2,0,0,,,,
input_l2cap_frame_flow_channel,contiki-ng,autoup-s1,exp-0804,os/net/mac/ble/ble-l2cap.c,ble-l2cap/input_l2cap_frame_flow_channel,True,True,True,True,True,True,0.102518,True,30,30,100.000000,30,30,100.000000,60,56,93.333333,315,"{""assertion"": 2, ""overflow"": 5, ""pointer"": 12, ""pointer arithmetic"": 113, ""pointer dereference"": 127, ""pointer primitives"": 38, ""precondition_instance"": 18}",315,"{""assertion"": 2, ""overflow"": 5, ""pointer"": 12, ""pointer arithmetic"": 113, ""pointer dereference"": 127, ""pointer primitives"": 38, ""precondition_instance"": 18}",100.000000,23,23,1,0,1,0,1,711.963471,1.0912,19,25,12,1,1,0,2,2,3,3,7,7,2,3.500000
