Target Function,Software,Config,Tag,Source File,Proof Relpath,Proof Found,Compile Succeeded,Links Target,Semantic Valid,Development Succeeds,Verification Completes,Verification Time,Verification Succeeds,Target Function Reachable Line Count,Target Function Covered Line Count,Target Function Line Coverage %,Program Reachable Line Count,Program Covered Line Count,Program Line Coverage %,Overall Reachable Line Count,Overall Covered Line Count,Overall Line Coverage %,Total Memory-Safety Properties,Total Memory-Safety Properties By Class,Verified Memory-Safety Properties,Verified Memory-Safety Properties By Class,Verified Memory-Safety Properties %,Total Memory-Safety Property Lines,Verified Memory-Safety Property Lines,Vulnerability Report Count,Violated Memory-Safety Property Lines,Reported Vulnerabilities,Property Violations,Precondition Violations,Generation Time,API Cost,Proof Size LOC,Proof File Size,Harness Size LOC,Source Files In Scope,Functions In Scope,Loop Unwindset Count,Loop Unwind Min,Loop Unwind Max,Model Used Variable Count,Assumption Variable Count,Harness Symbol Variable Count,Proof-Side Symbol Variable Count,Function Model Count,Function Model Avg LOC
eARPProcessPacket,FreeRTOS-Plus-TCP,autoup-s1,exp-0417,source/FreeRTOS_ARP.c,FreeRTOS_ARP/eARPProcessPacket,True,True,True,True,True,True,26.610467,False,70,70,100.000000,300,295,98.333333,400,391,97.750000,926,"{""array bounds"": 21, ""assertion"": 8, ""overflow"": 5, ""pointer"": 26, ""pointer arithmetic"": 248, ""pointer dereference"": 469, ""pointer primitives"": 107, ""precondition"": 2, ""precondition_instance"": 40}",913,"{""array bounds"": 21, ""assertion"": 8, ""overflow"": 5, ""pointer"": 26, ""pointer arithmetic"": 248, ""pointer dereference"": 456, ""pointer primitives"": 107, ""precondition"": 2, ""precondition_instance"": 40}",98.596112,114,113,1,1,2,1,1,34761.898696,9.2731,89,131,37,1,11,3,2,159,4,4,43,43,11,4.727273
prvRecvFrom_CopyPacket,FreeRTOS-Plus-TCP,autoup-s1,exp-0417,source/FreeRTOS_Sockets.c,FreeRTOS_Sockets/prvRecvFrom_CopyPacket,True,True,True,True,True,True,0.013965,True,11,11,100.000000,11,11,100.000000,43,39,90.697674,45,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 6, ""pointer primitives"": 8, ""precondition_instance"": 3}",45,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 6, ""pointer primitives"": 8, ""precondition_instance"": 3}",100.000000,7,7,2,0,2,0,2,545.471112,0.7337,21,28,21,1,1,0,2,2,0,0,7,7,0,
prvSingleStepTCPHeaderOptions,FreeRTOS-Plus-TCP,autoup-s1,exp-0417,source/FreeRTOS_TCP_Reception.c,FreeRTOS_TCP_Reception/prvSingleStepTCPHeaderOptions,True,True,True,True,True,True,0.491119,True,63,63,100.000000,74,74,100.000000,91,88,96.703297,175,"{""assertion"": 2, ""division-by-zero"": 1, ""overflow"": 3, ""pointer dereference"": 169}",175,"{""assertion"": 2, ""division-by-zero"": 1, ""overflow"": 3, ""pointer dereference"": 169}",100.000000,32,32,0,0,0,0,0,906.980179,1.3428,17,25,14,1,2,0,2,2,4,4,8,8,1,3.000000
prvCheckOptions,FreeRTOS-Plus-TCP,autoup-s1,exp-0417,source/FreeRTOS_TCP_Reception.c,FreeRTOS_TCP_Reception/prvCheckOptions,True,True,True,True,True,True,1.246124,True,33,33,100.000000,107,107,100.000000,136,133,97.794118,253,"{""assertion"": 2, ""division-by-zero"": 1, ""overflow"": 3, ""pointer dereference"": 247}",253,"{""assertion"": 2, ""division-by-zero"": 1, ""overflow"": 3, ""pointer dereference"": 247}",100.000000,45,45,0,0,0,0,0,4447.585476,2.2045,29,40,21,1,3,0,2,2,6,6,10,10,2,4.000000
xProcessReceivedTCPPacket,FreeRTOS-Plus-TCP,autoup-s1,exp-0417,source/FreeRTOS_TCP_IP.c,FreeRTOS_TCP_IP/xProcessReceivedTCPPacket,True,True,True,True,True,True,299.775653,False,84,84,100.000000,242,241,99.586777,383,378,98.694517,779,"{""array bounds"": 1, ""assertion"": 7, ""overflow"": 3, ""pointer"": 4, ""pointer arithmetic"": 35, ""pointer dereference"": 673, ""pointer primitives"": 44, ""precondition_instance"": 6, ""undefined-shift"": 6}",771,"{""array bounds"": 1, ""assertion"": 7, ""overflow"": 3, ""pointer"": 4, ""pointer arithmetic"": 35, ""pointer dereference"": 666, ""pointer primitives"": 44, ""precondition_instance"": 6, ""undefined-shift"": 5}",98.973042,120,118,3,2,5,2,3,106054.080532,15.9292,130,178,28,1,8,0,2,2,6,5,51,51,13,7.846154
prvProcessIPPacket,FreeRTOS-Plus-TCP,autoup-s1,exp-0417,source/FreeRTOS_IP.c,FreeRTOS_IP/prvProcessIPPacket,True,True,True,True,True,True,0.728454,True,71,69,97.183099,115,113,98.260870,144,142,98.611111,230,"{""assertion"": 2, ""overflow"": 2, ""pointer dereference"": 216, ""pointer primitives"": 8, ""undefined-shift"": 2}",230,"{""assertion"": 2, ""overflow"": 2, ""pointer dereference"": 216, ""pointer primitives"": 8, ""undefined-shift"": 2}",100.000000,33,33,1,0,1,0,1,2794.214303,2.8129,29,38,22,1,3,0,2,2,3,3,12,12,1,7.000000
prvProcessDHCPReplies,FreeRTOS-Plus-TCP,autoup-s1,exp-0417,source/FreeRTOS_DHCP.c,FreeRTOS_DHCP/prvProcessDHCPReplies,True,True,True,True,True,True,27.768668,True,40,40,100.000000,130,129,99.230769,157,156,99.363057,490,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 1, ""pointer"": 4, ""pointer arithmetic"": 48, ""pointer dereference"": 408, ""pointer primitives"": 16, ""precondition"": 2, ""precondition_instance"": 7}",490,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 1, ""pointer"": 4, ""pointer arithmetic"": 48, ""pointer dereference"": 408, ""pointer primitives"": 16, ""precondition"": 2, ""precondition_instance"": 7}",100.000000,58,58,0,0,0,0,0,3620.759627,1.8377,16,29,7,1,4,2,2,7,1,1,12,12,1,9.000000
vDHCPProcess,FreeRTOS-Plus-TCP,autoup-s1,exp-0417,source/FreeRTOS_DHCP.c,FreeRTOS_DHCP/vDHCPProcess,True,True,True,True,True,True,2101.416022,False,41,41,100.000000,507,506,99.802761,596,595,99.832215,1610,"{""array bounds"": 2, ""assertion"": 7, ""overflow"": 3, ""pointer"": 22, ""pointer arithmetic"": 243, ""pointer dereference"": 1194, ""pointer primitives"": 97, ""precondition"": 2, ""precondition_instance"": 40}",1609,"{""array bounds"": 2, ""assertion"": 7, ""overflow"": 2, ""pointer"": 22, ""pointer arithmetic"": 243, ""pointer dereference"": 1194, ""pointer primitives"": 97, ""precondition"": 2, ""precondition_instance"": 40}",99.937888,196,195,3,1,4,1,3,149885.530422,14.4409,76,119,23,1,17,2,2,7,3,3,33,33,6,8.833333
ProcessICMPPacket,FreeRTOS-Plus-TCP,autoup-s1,exp-0417,source/FreeRTOS_ICMP.c,FreeRTOS_ICMP/ProcessICMPPacket,True,True,True,True,True,True,0.182368,True,14,14,100.000000,47,47,100.000000,67,67,100.000000,141,"{""assertion"": 3, ""overflow"": 3, ""pointer dereference"": 132, ""undefined-shift"": 3}",141,"{""assertion"": 3, ""overflow"": 3, ""pointer dereference"": 132, ""undefined-shift"": 3}",100.000000,25,25,0,0,0,0,0,1073.566162,1.8449,20,25,20,1,3,0,2,2,4,4,6,6,0,
vProcessGeneratedUDPPacket,FreeRTOS-Plus-TCP,autoup-s1,exp-0417,source/FreeRTOS_UDP_IP.c,FreeRTOS_UDP_IP/vProcessGeneratedUDPPacket,True,True,True,True,True,True,0.014254,True,11,11,100.000000,11,11,100.000000,22,22,100.000000,26,"{""assertion"": 2, ""pointer dereference"": 24}",26,"{""assertion"": 2, ""pointer dereference"": 24}",100.000000,6,6,0,0,0,0,0,356.212461,0.6387,11,16,11,1,1,0,2,2,1,1,3,3,0,
