Target Function,Software,Config,Tag,Source File,Proof Relpath,Proof Found,Compile Succeeded,Links Target,Semantic Valid,Development Succeeds,Verification Completes,Verification Time,Verification Succeeds,Target Function Reachable Line Count,Target Function Covered Line Count,Target Function Line Coverage %,Program Reachable Line Count,Program Covered Line Count,Program Line Coverage %,Overall Reachable Line Count,Overall Covered Line Count,Overall Line Coverage %,Total Memory-Safety Properties,Total Memory-Safety Properties By Class,Verified Memory-Safety Properties,Verified Memory-Safety Properties By Class,Verified Memory-Safety Properties %,Total Memory-Safety Property Lines,Verified Memory-Safety Property Lines,Vulnerability Report Count,Violated Memory-Safety Property Lines,Reported Vulnerabilities,Property Violations,Precondition Violations,Generation Time,API Cost,Proof Size LOC,Proof File Size,Harness Size LOC,Source Files In Scope,Functions In Scope,Loop Unwindset Count,Loop Unwind Min,Loop Unwind Max,Model Used Variable Count,Assumption Variable Count,Harness Symbol Variable Count,Proof-Side Symbol Variable Count,Function Model Count,Function Model Avg LOC
gatt_find_info_rsp,zephyrproject,autoup-s1,exp-0411,zephyr/subsys/bluetooth/host/gatt.c,gatt/gatt_find_info_rsp,True,True,True,True,False,True,1.987459,True,60,59,98.333333,1226,225,18.352365,1343,334,24.869695,3668,"{""array bounds"": 10, ""assertion"": 2, ""division-by-zero"": 1, ""overflow"": 12, ""pointer"": 22, ""pointer arithmetic"": 186, ""pointer dereference"": 3342, ""pointer primitives"": 64, ""precondition"": 2, ""precondition_instance"": 24, ""undefined-shift"": 3}",3668,"{""array bounds"": 10, ""assertion"": 2, ""division-by-zero"": 1, ""overflow"": 12, ""pointer"": 22, ""pointer arithmetic"": 186, ""pointer dereference"": 3342, ""pointer primitives"": 64, ""precondition"": 2, ""precondition_instance"": 24, ""undefined-shift"": 3}",100.000000,393,393,3,0,3,0,3,3844.425714,0.3820,106,130,66,1,110,0,2,2,10,10,39,39,6,6.666667
is_mount_point,zephyrproject,autoup-s1,exp-0411,zephyr/subsys/fs/fuse_fs_access_bottom.c,fuse_fs_access_bottom/is_mount_point,True,True,True,True,True,True,2.405442,True,4,4,100.000000,4,4,100.000000,53,53,100.000000,57,"{""assertion"": 3, ""pointer dereference"": 42, ""pointer primitives"": 12}",57,"{""assertion"": 3, ""pointer dereference"": 42, ""pointer primitives"": 12}",100.000000,12,12,1,0,1,0,1,413.765628,0.6100,19,25,10,1,1,0,2,2,1,1,7,7,1,9.000000
cmd_write,zephyrproject,autoup-s1,exp-0411,zephyr/subsys/settings/src/settings_shell.c,settings_shell/cmd_write,True,True,True,True,True,True,3.611764,True,26,25,96.153846,34,33,97.058824,86,81,94.186047,189,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 162, ""pointer primitives"": 5, ""precondition_instance"": 3}",189,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 162, ""pointer primitives"": 5, ""precondition_instance"": 3}",100.000000,26,26,1,0,1,0,1,803.927447,1.1051,41,45,41,1,2,2,2,129,3,3,13,13,0,
crypto_stm32_cbc_decrypt,zephyrproject,autoup-s1,exp-0411,zephyr/drivers/crypto/crypto_stm32.c,crypto_stm32/crypto_stm32_cbc_decrypt,True,True,True,True,False,True,0.062919,False,13,13,100.000000,50,29,58.000000,97,72,74.226804,176,"{""assertion"": 2, ""overflow"": 1, ""pointer"": 4, ""pointer arithmetic"": 42, ""pointer dereference"": 107, ""pointer primitives"": 14, ""precondition_instance"": 6}",175,"{""assertion"": 2, ""pointer"": 4, ""pointer arithmetic"": 42, ""pointer dereference"": 107, ""pointer primitives"": 14, ""precondition_instance"": 6}",99.431818,20,19,2,1,3,1,2,303.259577,0.6685,30,38,30,1,7,0,2,2,7,7,13,13,0,
le_advertising_report,zephyrproject,autoup-s1,exp-0411,zephyr/subsys/bluetooth/controller/hci/hci.c,hci/le_advertising_report,True,True,True,True,True,True,0.056933,True,32,32,100.000000,45,45,100.000000,78,74,94.871795,154,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 2, ""pointer"": 4, ""pointer arithmetic"": 36, ""pointer dereference"": 90, ""pointer primitives"": 12, ""precondition_instance"": 6}",154,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 2, ""pointer"": 4, ""pointer arithmetic"": 36, ""pointer dereference"": 90, ""pointer primitives"": 12, ""precondition_instance"": 6}",100.000000,20,20,1,0,1,0,1,1015.295452,1.7937,22,26,18,1,4,0,2,2,5,5,10,10,1,4.000000
handle_encapsulated_rsp,zephyrproject,autoup-s1,exp-0411,zephyr/subsys/usb/device/class/netusb/function_rndis.c,function_rndis/handle_encapsulated_rsp,True,True,True,True,True,True,0.054773,True,14,13,92.857143,40,13,32.500000,86,55,63.953488,229,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 190, ""pointer primitives"": 8, ""precondition_instance"": 3}",229,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 190, ""pointer primitives"": 8, ""precondition_instance"": 3}",100.000000,17,17,0,0,0,0,0,1003.168557,1.4637,32,40,15,1,6,0,2,2,2,2,14,14,1,17.000000
nrf5_tx,zephyrproject,autoup-s1,exp-0411,zephyr/drivers/ieee802154/ieee802154_nrf5.c,ieee802154_nrf5/nrf5_tx,True,True,True,True,True,True,0.201375,True,41,41,100.000000,147,119,80.952381,203,171,84.236453,337,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 3, ""pointer"": 2, ""pointer arithmetic"": 22, ""pointer dereference"": 297, ""pointer primitives"": 7, ""precondition_instance"": 3}",337,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 3, ""pointer"": 2, ""pointer arithmetic"": 22, ""pointer dereference"": 297, ""pointer primitives"": 7, ""precondition_instance"": 3}",100.000000,45,45,0,0,0,0,0,2841.344209,4.3675,39,55,33,1,17,0,2,2,7,6,24,24,2,3.000000
fuse_fs_access_readdir,zephyrproject,autoup-s1,exp-0411,zephyr/subsys/fs/fuse_fs_access_bottom.c,fuse_fs_access_bottom/fuse_fs_access_readdir,True,True,True,True,True,True,4.630113,False,48,48,100.000000,114,90,78.947368,187,163,87.165775,146,"{""assertion"": 3, ""overflow"": 5, ""pointer dereference"": 126, ""pointer primitives"": 12}",143,"{""assertion"": 3, ""overflow"": 2, ""pointer dereference"": 126, ""pointer primitives"": 12}",97.945205,30,27,1,3,4,3,1,1058.569007,1.3983,43,65,19,1,6,0,2,2,2,1,24,24,3,8.000000
send_sf,zephyrproject,autoup-s1,exp-0411,zephyr/subsys/canbus/isotp/isotp.c,isotp/send_sf,True,True,True,True,True,True,1.557788,True,29,29,100.000000,65,65,100.000000,122,118,96.721311,269,"{""array bounds"": 9, ""assertion"": 2, ""overflow"": 5, ""pointer"": 2, ""pointer arithmetic"": 18, ""pointer dereference"": 222, ""pointer primitives"": 7, ""precondition_instance"": 4}",269,"{""array bounds"": 9, ""assertion"": 2, ""overflow"": 5, ""pointer"": 2, ""pointer arithmetic"": 18, ""pointer dereference"": 222, ""pointer primitives"": 7, ""precondition_instance"": 4}",100.000000,42,42,2,0,2,0,2,925.822185,1.3584,43,51,39,1,9,0,2,2,9,7,16,16,1,4.000000
gen_prov_cont,zephyrproject,autoup-s1,exp-0411,zephyr/subsys/bluetooth/mesh/pb_adv.c,pb_adv/gen_prov_cont,True,True,True,True,True,True,0.267085,True,46,46,100.000000,187,154,82.352941,253,212,83.794466,671,"{""array bounds"": 6, ""assertion"": 2, ""overflow"": 28, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 590, ""pointer primitives"": 8, ""precondition_instance"": 3, ""undefined-shift"": 8}",671,"{""array bounds"": 6, ""assertion"": 2, ""overflow"": 28, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 590, ""pointer primitives"": 8, ""precondition_instance"": 3, ""undefined-shift"": 8}",100.000000,66,66,1,0,1,0,1,1576.566943,2.0752,55,64,40,1,28,1,2,3,14,12,32,32,5,3.000000
