Target Function,Software,Config,Tag,Source File,Proof Relpath,Proof Found,Compile Succeeded,Links Target,Semantic Valid,Development Succeeds,Verification Completes,Verification Time,Verification Succeeds,Target Function Reachable Line Count,Target Function Covered Line Count,Target Function Line Coverage %,Program Reachable Line Count,Program Covered Line Count,Program Line Coverage %,Overall Reachable Line Count,Overall Covered Line Count,Overall Line Coverage %,Total Memory-Safety Properties,Total Memory-Safety Properties By Class,Verified Memory-Safety Properties,Verified Memory-Safety Properties By Class,Verified Memory-Safety Properties %,Total Memory-Safety Property Lines,Verified Memory-Safety Property Lines,Vulnerability Report Count,Violated Memory-Safety Property Lines,Reported Vulnerabilities,Property Violations,Precondition Violations,Generation Time,API Cost,Proof Size LOC,Proof File Size,Harness Size LOC,Source Files In Scope,Functions In Scope,Loop Unwindset Count,Loop Unwind Min,Loop Unwind Max,Model Used Variable Count,Assumption Variable Count,Harness Symbol Variable Count,Proof-Side Symbol Variable Count,Function Model Count,Function Model Avg LOC
gatt_find_info_rsp,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/bluetooth/host/gatt.c,gatt/gatt_find_info_rsp,True,True,,,False,False,3139.768360,,,,,,,,,,,,,,,,,,,,,,,3863.292817,0.3184,,70,,,,0,2,2,2,0,,,,
is_mount_point,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/fs/fuse_fs_access_bottom.c,fuse_fs_access_bottom/is_mount_point,True,False,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,145.382554,0.2473,,7,,,,0,2,2,1,0,,,,
cmd_write,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/settings/src/settings_shell.c,settings_shell/cmd_write,True,True,True,True,True,True,0.251462,True,26,25,96.153846,34,33,97.058824,82,77,93.902439,165,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 138, ""pointer primitives"": 5, ""precondition_instance"": 3}",165,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 138, ""pointer primitives"": 5, ""precondition_instance"": 3}",100.000000,22,22,0,0,0,0,0,571.694946,0.8127,37,41,37,1,2,1,2,8,5,5,14,14,0,
imx_mu_ipm_send,zephyrproject,autoup-s1,exp-0408,zephyr/drivers/ipm/ipm_imx.c,ipm_imx/imx_mu_ipm_send,True,True,True,True,True,True,0.044264,True,20,20,100.000000,22,22,100.000000,58,54,93.103448,61,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 1, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 30, ""pointer primitives"": 5, ""precondition_instance"": 3, ""undefined-shift"": 1}",61,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 1, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 30, ""pointer primitives"": 5, ""precondition_instance"": 3, ""undefined-shift"": 1}",100.000000,13,13,1,0,1,0,1,1039.643082,1.4749,25,28,25,1,2,0,2,2,5,5,12,12,0,
crypto_stm32_cbc_decrypt,zephyrproject,autoup-s1,exp-0408,zephyr/drivers/crypto/crypto_stm32.c,crypto_stm32/crypto_stm32_cbc_decrypt,True,True,True,True,True,True,0.066873,False,13,13,100.000000,50,29,58.000000,96,71,73.958333,170,"{""assertion"": 2, ""overflow"": 1, ""pointer"": 4, ""pointer arithmetic"": 42, ""pointer dereference"": 101, ""pointer primitives"": 14, ""precondition_instance"": 6}",169,"{""assertion"": 2, ""pointer"": 4, ""pointer arithmetic"": 42, ""pointer dereference"": 101, ""pointer primitives"": 14, ""precondition_instance"": 6}",99.411765,19,18,0,1,1,1,0,1276.628671,1.5320,29,37,29,1,7,0,2,2,6,6,13,13,0,
le_advertising_report,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/bluetooth/controller/hci/hci.c,hci/le_advertising_report,True,True,True,True,True,True,0.077688,True,32,32,100.000000,45,45,100.000000,79,75,94.936709,154,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 2, ""pointer"": 4, ""pointer arithmetic"": 36, ""pointer dereference"": 90, ""pointer primitives"": 12, ""precondition_instance"": 6}",154,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 2, ""pointer"": 4, ""pointer arithmetic"": 36, ""pointer dereference"": 90, ""pointer primitives"": 12, ""precondition_instance"": 6}",100.000000,20,20,0,0,0,0,0,1127.274304,1.8066,23,28,19,1,4,0,2,2,6,6,10,10,1,4.000000
usb_dc_ep_write,zephyrproject,autoup-s1,exp-0408,zephyr/drivers/usb/device/usb_dc_native_posix.c,usb_dc_native_posix/usb_dc_ep_write,True,True,True,True,True,True,2.220841,True,24,24,100.000000,62,40,64.516129,88,62,70.454545,90,"{""array bounds"": 3, ""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 21, ""pointer dereference"": 52, ""pointer primitives"": 7, ""precondition_instance"": 3}",90,"{""array bounds"": 3, ""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 21, ""pointer dereference"": 52, ""pointer primitives"": 7, ""precondition_instance"": 3}",100.000000,15,15,1,0,1,0,1,605.456151,0.9172,15,26,15,1,7,0,2,2,5,4,9,9,0,
handle_encapsulated_rsp,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/usb/device/class/netusb/function_rndis.c,function_rndis/handle_encapsulated_rsp,True,True,True,True,True,True,0.585632,True,14,13,92.857143,40,13,32.500000,86,55,63.953488,235,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 196, ""pointer primitives"": 8, ""precondition_instance"": 3}",235,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 196, ""pointer primitives"": 8, ""precondition_instance"": 3}",100.000000,18,18,0,0,0,0,0,897.933203,1.2658,32,39,15,1,6,0,2,2,2,2,14,14,1,17.000000
bt_tbs_remote_incoming,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/bluetooth/audio/tbs.c,tbs/bt_tbs_remote_incoming,True,True,True,True,True,True,63.780075,False,29,27,93.103448,162,123,75.925926,210,167,79.523810,258,"{""array bounds"": 3, ""assertion"": 2, ""overflow"": 2, ""pointer"": 2, ""pointer arithmetic"": 21, ""pointer dereference"": 216, ""pointer primitives"": 7, ""precondition_instance"": 5}",257,"{""array bounds"": 3, ""assertion"": 2, ""overflow"": 2, ""pointer"": 2, ""pointer arithmetic"": 21, ""pointer dereference"": 215, ""pointer primitives"": 7, ""precondition_instance"": 5}",99.612403,35,34,1,1,2,1,1,2698.964108,2.7181,31,39,22,1,17,6,2,200,3,2,19,19,2,4.500000
nrf5_tx,zephyrproject,autoup-s1,exp-0408,zephyr/drivers/ieee802154/ieee802154_nrf5.c,ieee802154_nrf5/nrf5_tx,True,True,True,True,True,True,0.673227,True,41,41,100.000000,118,95,80.508475,195,172,88.205128,312,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 2, ""pointer"": 2, ""pointer arithmetic"": 22, ""pointer dereference"": 273, ""pointer primitives"": 7, ""precondition_instance"": 3}",312,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 2, ""pointer"": 2, ""pointer arithmetic"": 22, ""pointer dereference"": 273, ""pointer primitives"": 7, ""precondition_instance"": 3}",100.000000,40,40,1,0,1,0,1,4337.038441,3.6448,60,93,44,1,9,0,2,2,6,6,37,37,6,2.666667
fuse_fs_access_readdir,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/fs/fuse_fs_access_bottom.c,fuse_fs_access_bottom/fuse_fs_access_readdir,True,False,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,271.478399,0.2491,,19,,,,0,2,2,2,0,,,,
eswifi_mgmt_iface_status,zephyrproject,autoup-s1,exp-0408,zephyr/drivers/wifi/eswifi/eswifi_core.c,eswifi_core/eswifi_mgmt_iface_status,True,True,True,True,True,True,127.811710,True,28,28,100.000000,124,102,82.258065,155,133,85.806452,423,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 12, ""pointer"": 1, ""pointer arithmetic"": 11, ""pointer dereference"": 395, ""precondition_instance"": 1}",423,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 12, ""pointer"": 1, ""pointer arithmetic"": 11, ""pointer dereference"": 395, ""precondition_instance"": 1}",100.000000,63,63,0,0,0,0,0,2622.600736,1.4946,25,30,21,1,17,3,2,34,5,4,14,14,1,4.000000
eswifi_shell_atcmd,zephyrproject,autoup-s1,exp-0408,zephyr/drivers/wifi/eswifi/eswifi_shell.c,eswifi_shell/eswifi_shell_atcmd,True,True,True,True,True,True,1672.436327,True,18,18,100.000000,34,34,100.000000,68,68,100.000000,120,"{""assertion"": 2, ""overflow"": 1, ""pointer dereference"": 114, ""precondition_instance"": 3}",120,"{""assertion"": 2, ""overflow"": 1, ""pointer dereference"": 114, ""precondition_instance"": 3}",100.000000,20,20,0,0,0,0,0,8709.768447,1.0900,28,33,28,1,9,2,2,1601,2,2,9,9,0,
send_sf,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/canbus/isotp/isotp.c,isotp/send_sf,True,True,True,True,True,True,0.746839,True,29,28,96.551724,65,64,98.461538,121,116,95.867769,345,"{""array bounds"": 9, ""assertion"": 2, ""overflow"": 5, ""pointer"": 2, ""pointer arithmetic"": 18, ""pointer dereference"": 294, ""pointer primitives"": 11, ""precondition_instance"": 4}",345,"{""array bounds"": 9, ""assertion"": 2, ""overflow"": 5, ""pointer"": 2, ""pointer arithmetic"": 18, ""pointer dereference"": 294, ""pointer primitives"": 11, ""precondition_instance"": 4}",100.000000,49,49,1,0,1,0,1,2677.454114,2.5393,42,51,35,1,9,0,2,2,8,8,11,11,1,7.000000
