CVE ID,Software,Config,Tag,Target Function,Target File,Vulnerability Type,Sink,Proof Found,Compile Succeeded,Verification Completes,Verification Time,Reachable Line Count,Covered Line Count,Line Coverage %,API Cost,Reported Error Count,Sink Included,Sink Covered,Error Found,Precondition Addressed,CVE Exposed Strict,CVE Exposed Partial,Manual,Exposed,Non-exposure Root Cause,
CVE-2023-50927,Contiki-NG,autoup-s1,exp-0804,dio_input,os/net/routing/rpl-lite/rpl-icmp6.c,OOB Read,dio_input:203,,,TRUE,92.814702,128,124,96.875,,0,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,Exposed
CVE-2023-50926,Contiki-NG,autoup-s1,exp-0804,dio_input,os/net/routing/rpl-lite/rpl-icmp6.c,OOB Read,rpl_is_addr_in_our_dag:161,,,TRUE,92.814702,128,124,96.875,,0,FALSE,FALSE,,,FALSE,FALSE,,N/A,,Wrong target. Should be exposed from rpl_process_dio
CVE-2023-48229,Contiki-NG,autoup-s1,exp-0804,read_frame,arch/cpu/nrf/net/nrf-ieee-driver-arch.c,OOB Write,read_frame:714,,,FALSE,,,,,,,,,,,,,,N/A,,Function not extracted and AutoUP ended
CVE-2023-37459,Contiki-NG,autoup-s1,exp-0804,check_for_tcp_syn,os/net/ipv6/tcpip.c,OOB Read,check_for_tcp_syn:159,,,TRUE,0.000207,3,3,100,,0,FALSE,FALSE,,,FALSE,FALSE,,N/A,,Require setting UIP_TCP config variable
CVE-2023-37281,Contiki-NG,autoup-s1,exp-0804,uncompress_addr,os/net/ipv6/sicslowpan.c,OOB Read,uncompress_addr:630,,,TRUE,0.04404,51,47,92.156863,,0,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,Resolving precondition (buffer len >= 16) classified as angelic even though it is coming from network and not related to struct or type size.
CVE-2023-34101,Contiki-NG,autoup-s1,exp-0804,dao_input_storing,os/net/routing/rpl-classic/rpl-icmp6.c,OOB Read,dao_input_storing:710,,,TRUE,37.943415,276,271,98.188406,,1,TRUE,TRUE,,,FALSE,TRUE,,TRUE,,Exposed
CVE-2023-31129,Contiki-NG,autoup-s1,exp-0804,rs_input,os/net/ipv6/uip-nd6.c,Null Pointer Dereferencing,rs_input:668,,,TRUE,4.929926,90,84,93.333333,,0,TRUE,TRUE,,,FALSE,TRUE,,TRUE,,Exposed
CVE-2023-30546,Contiki-NG,autoup-s1,exp-0804,storage_get_index,os/storage/antelope/storage-cfs.c,OOB Read,storage_get_index:357,,,TRUE,0.109138,56,52,92.857143,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Incomplete CVE recreation,Not explosed because helper function contains additional validation but not reverted.
CVE-2023-28116,Contiki-NG,autoup-s1,exp-0804,PROCESS_THREAD,os/net/mac/ble/ble-l2cap.c,OOB Write,PROCESS_THREAD:586,,,FALSE,,,,,,,,,,,,,,N/A,,Strict name validation prevents harness development.
CVE-2023-23609,Contiki-NG,autoup-s1,exp-0804,input_l2cap_frame_flow_channel,os/net/mac/ble/ble-l2cap.c,OOB Write,input_l2cap_frame_flow_channel:458,,,TRUE,0.102518,60,56,93.333333,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Incomplete CVE recreation,A future-added compile-time validation (https://github.com/AmPaschal/contiki-ng/commit/5c51498fda0128a34128269c251096f84bc8a4ed) prevents the precondition from getting violated.
CVE-2022-41972,Contiki-NG,autoup-s1,exp-0804,input_l2cap_credit,os/net/mac/ble/ble-l2cap.c,Null Pointer Dereferencing,input_l2cap_credit:393,,,TRUE,0.115869,54,49,90.740741,,0,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,Exposed
CVE-2022-41873,Contiki-NG,autoup-s1,exp-0804,input,os/net/mac/ble/ble-l2cap.c,OOB Write,get_channel_for_cid:110,,,TRUE,1.226966,208,204,98.076923,,33,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,Exposure depends on fields in data which cannot be fixed by preconditions
CVE-2022-36054,Contiki-NG,autoup-s1,exp-0804,input,os/net/ipv6/sicslowpan.c,OOB Write,input:2015,,,TRUE,582.805619,507,496,97.830375,,27,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,Error exposed in CBMC output but debugging failed because of exhausted token 
CVE-2022-36053,Contiki-NG,autoup-s1,exp-0804,uipbuf_get_next_header,os/net/ipv6/uipbuf.c,OOB Read,uipbuf_get_next_header:122,,,TRUE,0.02377,43,43,100,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Precondition validation error,Precondition validation failure. It refines the previously overconstrained precondition but does not analyze the new precondition.
CVE-2022-36052,Contiki-NG,autoup-s1,exp-0804,uncompress_hdr_iphc,os/net/ipv6/sicslowpan.c,OOB Write,uncompress_hdr_iphc:1332,,,TRUE,4.588727,279,268,96.057348,,0,TRUE,TRUE,,,FALSE,TRUE,,TRUE,,Exposed
CVE-2022-35927,Contiki-NG,autoup-s1,exp-0804,dio_input,os/net/routing/rpl-classic/rpl-icmp6.c,OOB Read,set_ip_from_prefix:479,,,,,,,,,,,,,,,,,N/A,,Not executed
CVE-2022-35926,Contiki-NG,autoup-s1,exp-0804,ns_input,os/net/ipv6/uip-nd6.c,OOB Read,ns_input:202,,,TRUE,80.228839,172,161,93.604651,,0,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,"Exposing precondition is added when resolving a different error, and it was rightly reported as a vulnerability."
CVE-2021-32771,Contiki-NG,autoup-s1,exp-0804,dao_input_storing,os/net/routing/rpl-classic/rpl-icmp6.c,OOB Read,dao_input_storing:775,,,TRUE,37.943415,276,271,98.188406,,1,TRUE,TRUE,,,TRUE,FALSE,,TRUE,,Exposed
CVE-2021-21410,Contiki-NG,autoup-s1,exp-0804,uncompress_hdr_iphc,os/net/ipv6/sicslowpan.c,OOB Read,uncompress_hdr_iphc:1093,,,TRUE,4.588727,279,268,96.057348,,0,TRUE,TRUE,,,FALSE,TRUE,,TRUE,,Exposed
CVE-2021-21282,Contiki-NG,autoup-s1,exp-0804,rpl_ext_header_srh_update,os/net/routing/rpl-classic/rpl-ext-header.c,OOB Read,rpl_ext_header_srh_update:322,,,TRUE,0.086972,52,48,92.307692,,0,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,Exposed
,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2024-4785,Zephyr,autoup-s1,exp-0408,ull_conn_update_parameters,subsys/bluetooth/controller/ll_sw/ull_conn.c,Division by zero,ull_conn_update_parameters:2432,,,FALSE,,,,,,,,,,,,,,N/A,,Not harnessed due to recurrent crashes
CVE-2024-3077,Zephyr,autoup-s1,exp-0408,gatt_find_info_rsp,subsys/bluetooth/host/gatt.c,OOB Read,gatt_find_info_rsp:4629,,,FALSE,,,,,,,,,,,,,,N/A,Rerun,Timeout after stub generation because function pointer handler only found  and stubbed1/3 function pointer calls
CVE-2023-6881,Zephyr,autoup-s1,exp-0408,is_mount_point,subsys/fs/fuse_fs_access_bottom.c,OOB Write,is_mount_point:195,,,FALSE,,,,,,,,,,,,,,N/A,Rerun,Compilation failed because LLM was not able to install necessary dependencies due to issues with sudo.
CVE-2023-6749,Zephyr,autoup-s1,exp-0408,cmd_write,subsys/settings/src/settings_shell.c,OOB Write,cmd_write:189,,,TRUE,0.251462,82,77,93.902439,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Limited loop unwinding,"Vuln-aware refiner correctly identified the number of loop unwinds, but misunderstood part of our instructions and did not perform the unrolling."
CVE-2023-5184,Zephyr,autoup-s1,exp-0408,imx_mu_ipm_send,drivers/ipm/ipm_imx.c,OOB Write,imx_mu_ipm_send:184,,,TRUE,0.044264,58,54,93.103448,,0,TRUE,TRUE,,,TRUE,FALSE,,TRUE,,Exposed
CVE-2023-5139,Zephyr,autoup-s1,exp-0408,crypto_stm32_cbc_decrypt,drivers/crypto/crypto_stm32.c,OOB Write,copy_words_adjust_endianness:101,,,TRUE,0.066873,96,71,73.958333,,1,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,"Precondition validator classified the resolving precondition (len >= constant) as angelic assumption, which is incorrect."
CVE-2023-4424,Zephyr,autoup-s1,exp-0408,le_advertising_report,subsys/bluetooth/controller/hci/hci.c,OOB Write,le_advertising_report:6760,,,TRUE,0.077688,79,75,94.936709,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Incomplete CVE recreation,AutoUP identified a constraint in caller that prevents the error from occurring.
CVE-2023-4265,Zephyr,autoup-s1,exp-0408,usb_dc_ep_write,drivers/usb/device/usb_dc_native_posix.c,OOB Write,usb_dc_ep_write:363,,,TRUE,2.220841,88,62,70.454545,,0,TRUE,TRUE,,,TRUE,FALSE,,TRUE,,Exposed
CVE-2023-4265,Zephyr,autoup-s1,exp-0408,handle_encapsulated_rsp,subsys/usb/device/class/netusb/function_rndis.c,OOB Write,handle_encapsulated_rsp:843,,,TRUE,0.585632,86,55,63.953488,,0,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,"Precondition validator classified the resolving precondition (buffer len <= data size) as angelic assumption, even though they are not the same variable."
CVE-2023-4264,Zephyr,autoup-s1,exp-0408,bt_tbs_remote_incoming,subsys/bluetooth/audio/tbs.c,OOB Write,tbs_inst_remote_incoming:2776,,,TRUE,2.453892,210,167,79.52381,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,BMC Tool Limitation,"Not exposed because it requires strcpy unwinding greater than the size of the containing memory location, not just destination field."
CVE-2023-4263,Zephyr,autoup-s1,exp-0408,nrf5_tx,drivers/ieee802154/ieee802154_nrf5.c,OOB Write,nrf5_tx:598,,,TRUE,0.673227,195,172,88.205128,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Incomplete CVE recreation,Not exposed because the vulnerability condition is prevented by an upstream caller.
CVE-2023-4260,Zephyr,autoup-s1,exp-0408,fuse_fs_access_readdir,subsys/fs/fuse_fs_access_bottom.c,OOB Write,fuse_fs_access_readdir:338,,,FALSE,,,,,,,,,,,,,,N/A,Rerun,Compilation failed because LLM was not able to install necessary dependencies due to issues with sudo.
CVE-2023-4259,Zephyr,autoup-s1,exp-0408,eswifi_mgmt_iface_status,drivers/wifi/eswifi/eswifi_core.c,OOB Write,eswifi_mgmt_iface_status:502,,,TRUE,127.81171,155,133,85.806452,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,BMC Tool Limitation,"Not exposed because it requires strcpy unwinding greater than the size of the containing memory location, not just destination field."
CVE-2023-4259,Zephyr,autoup-s1,exp-0408,eswifi_shell_atcmd,drivers/wifi/eswifi/eswifi_shell.c,OOB Write,eswifi_shell_atcmd:43,,,TRUE,1672.436327,68,68,100,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,BMC Tool Limitation,"Not exposed because it requires strcpy unwinding greater than the size of the containing memory location, not just destination field."
CVE-2023-3725,Zephyr,autoup-s1,exp-0408,send_sf,subsys/canbus/isotp/isotp.c,OOB Write,send_sf:922,,,TRUE,0.746839,121,116,95.867769,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Incomplete CVE recreation,Not exposed because caller enforces a stronger condition that prevents the precondition from getting violated.
CVE-2022-1042,Zephyr,autoup-s1,exp-0408,gen_prov_cont,subsys/bluetooth/mesh/pb_adv.c,OOB Write,gen_prov_cont:536,,,TRUE,0.540603,253,212,83.794466,,0,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,Exposed but was inside memcpy.
CVE-2022-1041,Zephyr,autoup-s1,exp-0408,gen_prov_start,subsys/bluetooth/mesh/pb_adv.c,OOB Write,gen_prov_start:661,,,TRUE,1.843716,258,216,83.72093,,1,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,Exposed through  CVE-2022-1042 sink
CVE-2021-3861,Zephyr,autoup-s1,exp-0408,queue_encapsulated_cmd,subsys/usb/device/class/netusb/function_rndis.c,OOB Write,queue_encapsulated_cmd:777,,,TRUE,0.023104,62,37,59.677419,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Limited Scope,Not exposed due to limited scope
CVE-2021-3835,Zephyr,autoup-s1,exp-0408,bt_buf_get_tx,subsys/bluetooth/host/hci_raw.c,OOB Write,net_buf_simple_add_mem:73,,,TRUE,0.029108,81,56,69.135802,,0,FALSE,FALSE,,,FALSE,FALSE,,FALSE,Limited Scope,Not exposed due to limited scope
CVE-2021-3581,Zephyr,autoup-s1,exp-0408,ull_scan_rsp_set,subsys/bluetooth/controller/ll_sw/ull_adv.c,OOB Write,ull_scan_rsp_set:1921,,,TRUE,1.291308,191,187,97.905759,,0,TRUE,TRUE,,,TRUE,FALSE,,TRUE,,Exposed
CVE-2021-3454,Zephyr,autoup-s1,exp-0408,l2cap_chan_le_recv,subsys/bluetooth/host/l2cap.c,OOB Read,net_buf_simple_pull_le16:485,,,TRUE,331.219634,451,400,88.691796,,30,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Limited Scope,Not exposed due to limited scope
CVE-2021-3435,Zephyr,autoup-s1,exp-0408,le_ecred_conn_req,subsys/bluetooth/host/l2cap.c,OOB Write,le_ecred_conn_req:1658,,,TRUE,1205.23903,475,428,90.105263,,51,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Limited loop unwinding,Not exposed due to limited loop unwinding. Stage 2 produced the correct loop count but verification exceeded time budget.
,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2024-3077,Zephyr,autoup-s1,exp-0411,gatt_find_info_rsp,subsys/bluetooth/host/gatt.c,OOB Read,gatt_find_info_rsp:4629,,,TRUE,1.987459,1343,334,24.869695,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Incomplete CVE recreation,Not exposed because the vulnerability condition is prevented by caller.
CVE-2023-6881,Zephyr,autoup-s1,exp-0411,is_mount_point,subsys/fs/fuse_fs_access_bottom.c,OOB Write,is_mount_point:195,,,TRUE,2.405442,53,53,100,,0,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,Exposed when precondition was added to address another error.
CVE-2023-6749,Zephyr,autoup-s1,exp-0411,cmd_write,subsys/settings/src/settings_shell.c,OOB Write,cmd_write:189,,,TRUE,3.611764,86,81,94.186047,,0,TRUE,TRUE,,,TRUE,FALSE,,TRUE,,Exposed
CVE-2023-5139,Zephyr,autoup-s1,exp-0411,crypto_stm32_cbc_decrypt,drivers/crypto/crypto_stm32.c,OOB Write,copy_words_adjust_endianness:101,,,TRUE,0.062919,97,72,74.226804,,1,TRUE,TRUE,,,TRUE,FALSE,,TRUE,,Exposed
CVE-2023-4424,Zephyr,autoup-s1,exp-0411,le_advertising_report,subsys/bluetooth/controller/hci/hci.c,OOB Write,le_advertising_report:6760,,,TRUE,0.056933,78,74,94.871795,,0,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,Exposed when precondition was added to related error in preceding line.
CVE-2023-4265,Zephyr,autoup-s1,exp-0411,handle_encapsulated_rsp,subsys/usb/device/class/netusb/function_rndis.c,OOB Write,handle_encapsulated_rsp:843,,,TRUE,0.054773,86,55,63.953488,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Incomplete CVE recreation,Not exposed. Precondition validator argues it cannot be exposed because default configured destination size is greater than the source target size. May be because of the default configuration size
CVE-2023-4263,Zephyr,autoup-s1,exp-0411,nrf5_tx,drivers/ieee802154/ieee802154_nrf5.c,OOB Write,nrf5_tx:598,,,TRUE,0.201375,203,171,84.236453,,0,TRUE,TRUE,,,FALSE,FALSE,,FALSE,Incomplete CVE recreation,Not exposed. Validator argues the precondition always holds by design.
CVE-2023-4260,Zephyr,autoup-s1,exp-0411,fuse_fs_access_readdir,subsys/fs/fuse_fs_access_bottom.c,OOB Write,fuse_fs_access_readdir:338,,,TRUE,4.630113,187,163,87.165775,,3,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,"Exposed via assertion in sprintf, which was not detected because it is not the program location"
CVE-2023-3725,Zephyr,autoup-s1,exp-0411,send_sf,subsys/canbus/isotp/isotp.c,OOB Write,send_sf:922,,,TRUE,1.557788,122,118,96.721311,,0,TRUE,TRUE,,,TRUE,FALSE,,TRUE,,Exposed
CVE-2022-1041,Zephyr,autoup-s1,exp-0411,gen_prov_start,subsys/bluetooth/mesh/pb_adv.c,OOB Write,gen_prov_cont:536,,,TRUE,0.267085,253,212,83.794466,,0,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,Exposed indirectly through CVE-2022-1042. Both vulns have the same sink and CVE-2022-1042 was a stronger fix.
,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2024-4785,zephyr,codexup,exp-codexup-0412,ull_conn_update_parameters,subsys/bluetooth/controller/ll_sw/ull_conn.c,Division by zero,ull_conn_update_parameters:2432,FALSE,FALSE,FALSE,,,,,,,,,,,,,,N/A,,
CVE-2024-3077,zephyr,codexup,exp-codexup-0412,gatt_find_info_rsp,subsys/bluetooth/host/gatt.c,OOB Read,gatt_find_info_rsp:4629,TRUE,TRUE,TRUE,489.382536,1203,74,6.151288,,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,Over-constrained environment,
CVE-2023-6881,zephyr,codexup,exp-codexup-0412,is_mount_point,subsys/fs/fuse_fs_access_bottom.c,OOB Write,is_mount_point:195,TRUE,TRUE,FALSE,,,,,,,,,,,,,,FALSE,Resource exhaustion,Verification does not complete because the LLM added an sprintf model with infinite loop and did not constrain the loop iteration count.
CVE-2023-6749,zephyr,codexup,exp-codexup-0412,cmd_write,subsys/settings/src/settings_shell.c,OOB Write,cmd_write:189,TRUE,TRUE,TRUE,11.79538,81,80,98.765432,,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,,Vulnerability identified at start of execution
CVE-2023-5184,zephyr,codexup,exp-codexup-0412,imx_mu_ipm_send,drivers/ipm/ipm_imx.c,OOB Write,imx_mu_ipm_send:184,TRUE,TRUE,TRUE,0.015331,41,41,100,,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,,Vulnerability identified after CBMC execution
CVE-2023-5139,zephyr,codexup,exp-codexup-0412,crypto_stm32_cbc_decrypt,drivers/crypto/crypto_stm32.c,OOB Write,copy_words_adjust_endianness:101,TRUE,TRUE,TRUE,0.074812,78,76,97.435897,,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,Over-constrained environment,"Actual vulnerability not exposed. Codex identified errors from violations in its function model, which may represent actual vulnerabilities or not."
CVE-2023-4424,zephyr,codexup,exp-codexup-0412,le_advertising_report,subsys/bluetooth/controller/hci/hci.c,OOB Write,le_advertising_report:6760,TRUE,TRUE,TRUE,0.323676,68,67,98.529412,,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,,Vulnerability identified at start of execution
CVE-2023-4265,zephyr,codexup,exp-codexup-0412,usb_dc_ep_write,drivers/usb/device/usb_dc_native_posix.c,OOB Write,usb_dc_ep_write:363,TRUE,TRUE,TRUE,2.654156,66,42,63.636364,,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,Vulnerability identified at start of execution
CVE-2023-4265,zephyr,codexup,exp-codexup-0412,handle_encapsulated_rsp,subsys/usb/device/class/netusb/function_rndis.c,OOB Write,handle_encapsulated_rsp:843,TRUE,TRUE,TRUE,0.070955,53,46,86.792453,,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,,Vulnerability identified at start of execution
CVE-2023-4264,zephyr,codexup,exp-codexup-0412,bt_tbs_remote_incoming,subsys/bluetooth/audio/tbs.c,OOB Write,tbs_inst_remote_incoming:2776,TRUE,TRUE,TRUE,156.255675,239,192,80.334728,,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,Over-constrained environment,Only identified a potential Null-pointer dereferencing in strlen. Did not identify the vulnerability at start.
CVE-2023-4263,zephyr,codexup,exp-codexup-0412,nrf5_tx,drivers/ieee802154/ieee802154_nrf5.c,OOB Write,nrf5_tx:598,TRUE,TRUE,TRUE,0.260264,329,142,43.161094,,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,Incomplete CVE recreation,No memory safety error detected at start. Codex refined harness to prevent error traces that occured.
